,master_id,recency,frequency,monetary,recency_score,frequency_score,monetary_score,RF_SCORE,segment,interested_in_categories_12
0,000c1fe2-a8b7-11ea-8479-000d3a38a36f,28,7.0,874.1600000000001,5,4,4,54,champions,"[AKTIFCOCUK, ERKEK, COCUK, KADIN, AKTIFSPOR]"
1,003903e0-abce-11e9-a2fc-000d3a38a36f,69,5.0,577.47,4,4,3,44,loyal_customers,[KADIN]
2,004bec18-9f7a-11e9-a2fc-000d3a38a36f,100,12.0,684.91,3,5,4,35,loyal_customers,"[ERKEK, KADIN, AKTIFSPOR]"
3,00534fe4-a6b4-11e9-a2fc-000d3a38a36f,64,16.0,800.59,4,5,4,45,loyal_customers,"[ERKEK, KADIN, AKTIFSPOR]"
4,009293fe-1f3e-11ea-87bf-000d3a38a36f,130,6.0,725.1800000000001,3,4,4,34,loyal_customers,"[COCUK, KADIN, AKTIFSPOR]"
5,00a10df4-5f9d-11ea-8dd8-000d3a38a36f,135,13.0,906.34,3,5,4,35,loyal_customers,"[ERKEK, KADIN]"
6,00a7bc8e-b085-11e9-9757-000d3a38a36f,93,5.0,610.33,3,4,3,34,loyal_customers,"[AKTIFCOCUK, ERKEK, COCUK, KADIN, AKTIFSPOR]"
7,00b3ee24-aa44-11e9-a2fc-000d3a38a36f,25,8.0,2027.78,5,5,5,55,champions,"[ERKEK, KADIN, AKTIFSPOR]"
8,00cf8494-9da2-11e9-9897-000d3a38a36f,6,53.0,6275.33,5,5,5,55,champions,"[AKTIFCOCUK, KADIN]"
9,00f037ce-9fa6-11e9-a2fc-000d3a38a36f,59,18.0,1896.0300000000002,4,5,5,45,loyal_customers,"[AKTIFCOCUK, ERKEK, COCUK, KADIN, AKTIFSPOR]"
10,010be698-1942-11ea-b6a2-000d3a38a36f,68,5.0,573.8000000000001,4,4,3,44,loyal_customers,"[COCUK, KADIN]"
11,015ad42c-a4cd-11e9-a2fc-000d3a38a36f,124,5.0,674.88,3,4,4,34,loyal_customers,"[AKTIFCOCUK, KADIN, AKTIFSPOR]"
12,018a6c62-a132-11e9-a2fc-000d3a38a36f,118,5.0,679.6700000000001,3,4,4,34,loyal_customers,"[ERKEK, KADIN, AKTIFSPOR]"
13,01eb536e-a854-11e9-a2fc-000d3a38a36f,120,12.0,1466.1899999999998,3,5,5,35,loyal_customers,"[KADIN, AKTIFSPOR]"
14,01eb8378-ae96-11e9-a2fc-000d3a38a36f,139,6.0,500.65999999999997,3,4,3,34,loyal_customers,[KADIN]
15,01ec6786-636b-11ea-a6dc-000d3a38a36f,54,6.0,988.3599999999999,4,4,4,44,loyal_customers,"[AKTIFCOCUK, KADIN, AKTIFSPOR]"
16,02098f82-9f8f-11e9-a2fc-000d3a38a36f,141,7.0,1626.31,3,4,5,34,loyal_customers,"[ERKEK, COCUK, KADIN, AKTIFSPOR]"
17,0211e640-2370-11ea-8523-000d3a38a36f,64,7.0,1222.99,4,4,5,44,loyal_customers,"[AKTIFCOCUK, ERKEK, COCUK, KADIN]"
18,02355648-60f1-11ea-8dd8-000d3a38a36f,134,5.0,1357.01,3,4,5,34,loyal_customers,"[KADIN, AKTIFSPOR]"
19,02398b8c-a9f9-11e9-a2fc-000d3a38a36f,124,5.0,487.18,3,4,3,34,loyal_customers,"[ERKEK, COCUK, KADIN]"
20,024da65a-5b36-11ea-b7e2-000d3a38a36f,16,11.0,2312.01,5,5,5,55,champions,"[ERKEK, KADIN, AKTIFSPOR]"
21,0250d14a-a24f-11e9-a2fc-000d3a38a36f,43,5.0,686.9100000000001,4,4,4,44,loyal_customers,"[ERKEK, COCUK, KADIN, AKTIFSPOR]"
22,0282144a-21d2-11eb-99f8-000d3a38a36f,35,10.0,1170.6,4,5,5,45,loyal_customers,"[ERKEK, KADIN]"
23,02a5bc6c-d663-11e9-93bc-000d3a38a36f,20,11.0,1578.7,5,5,5,55,champions,"[ERKEK, KADIN, AKTIFSPOR]"
