,master_id,recency,frequency,monetary,recency_score,frequency_score,monetary_score,RF_SCORE,segment,interested_in_categories_12
0,00034aaa-a838-11e9-a2fc-000d3a38a36f,299,3.0,269.46999999999997,1,2,1,12,hibernating,"[ERKEK, KADIN]"
1,0018c6aa-ab6c-11e9-a2fc-000d3a38a36f,127,2.0,317.90999999999997,3,1,2,31,about_to_sleep,[AKTIFCOCUK]
2,00263f1a-210a-11ea-b50a-000d3a38a36f,363,3.0,501.94,1,2,3,12,hibernating,[ERKEK]
3,0033f078-7359-11ea-92d0-000d3a38a36f,361,2.0,153.98,1,1,1,11,hibernating,[ERKEK]
4,00414e84-adc6-11e9-a2fc-000d3a38a36f,121,3.0,303.44,3,2,2,32,about_to_sleep,[ERKEK]
5,006bb20e-a9a8-11e9-a2fc-000d3a38a36f,189,3.0,620.41,2,2,3,22,hibernating,"[ERKEK, AKTIFSPOR]"
6,007cdfe4-1f54-11ea-87bf-000d3a38a36f,356,8.0,778.88,1,5,4,15,cant_loose,[ERKEK]
7,0082e79e-5b50-11ea-ba9b-000d3a38a36f,319,2.0,279.96999999999997,1,1,1,11,hibernating,"[ERKEK, AKTIFSPOR]"
8,00842ccc-15ea-11ea-aa74-000d3a38a36f,306,3.0,189.97,1,2,1,12,hibernating,[COCUK]
9,00844650-a937-11e9-a2fc-000d3a38a36f,175,3.0,746.7,2,2,4,22,hibernating,"[ERKEK, AKTIFSPOR]"
10,00a9f3a6-5318-11ea-acd3-000d3a38a36f,173,2.0,229.95999999999998,2,1,1,21,hibernating,[COCUK]
11,00c2168c-a875-11e9-a2fc-000d3a38a36f,121,3.0,381.96,3,2,2,32,about_to_sleep,[ERKEK]
12,00e58b24-5b4b-11ea-ac70-000d3a38a36f,163,2.0,209.98,2,1,1,21,hibernating,[ERKEK]
13,00f6c98e-abb5-11e9-a2fc-000d3a38a36f,164,12.0,2199.8,2,5,5,25,cant_loose,"[ERKEK, KADIN, AKTIFSPOR]"
14,00f7553c-5bbb-11ea-b88d-000d3a38a36f,175,12.0,1754.27,2,5,5,25,cant_loose,"[AKTIFCOCUK, COCUK]"
15,0117c094-63e8-11ea-a6dc-000d3a38a36f,250,2.0,339.49,1,1,2,11,hibernating,[ERKEK]
16,014dee3a-aae8-11e9-a2fc-000d3a38a36f,314,2.0,170.06,1,1,1,11,hibernating,[ERKEK]
17,01588ec4-4680-11ea-b6c0-000d3a38a36f,188,3.0,145.98000000000002,2,2,1,22,hibernating,[COCUK]
18,0162aa7a-3f10-11ea-b794-000d3a38a36f,367,2.0,380.96000000000004,1,1,2,11,hibernating,"[AKTIFCOCUK, AKTIFSPOR]"
19,016cb6c8-a3e8-11e9-a2fc-000d3a38a36f,217,3.0,229.9,2,2,1,22,hibernating,[ERKEK]
20,0174d3ce-9f0d-11e9-9897-000d3a38a36f,240,3.0,640.71,1,2,3,12,hibernating,"[ERKEK, AKTIFSPOR]"
21,0175d8d8-1cf7-11ea-a490-000d3a38a36f,333,2.0,349.97,1,1,2,11,hibernating,[ERKEK]
22,0179158a-aac8-11e9-a2fc-000d3a38a36f,9,2.0,110.86999999999999,5,1,1,51,new_customers,"[ERKEK, KADIN]"
23,017bd900-a97e-11e9-a2fc-000d3a38a36f,251,8.0,699.9,1,5,4,15,cant_loose,[AKTIFCOCUK]
24,017d86e2-5599-11eb-9e65-000d3a38a36f,135,2.0,154.97,3,1,1,31,about_to_sleep,"[AKTIFCOCUK, KADIN]"
25,018b9230-aae3-11e9-a2fc-000d3a38a36f,325,3.0,384.45,1,2,2,12,hibernating,"[ERKEK, KADIN, AKTIFSPOR]"
26,018bc0ba-6ce5-11ea-b576-000d3a38a36f,159,3.0,299.46,2,2,1,22,hibernating,"[ERKEK, AKTIFSPOR]"
27,019280fa-a87b-11e9-a2fc-000d3a38a36f,310,3.0,210.49,1,2,1,12,hibernating,[ERKEK]
28,01976720-ae7d-11e9-a2fc-000d3a38a36f,264,3.0,269.51,1,2,1,12,hibernating,"[ERKEK, AKTIFSPOR]"
